1,Kerry Lindsey,kerry@email.com,best poker face I have ever seen
2,Caitlin Ho,caitlin@emai.com,human vacuum cleaner
3, Dominick Hemphill,dom@email.com,straight up killing it
4,Georgia Sutter,gasut@email.com,super cute dog
5,Mackenzie Jones,macjones@email.com,best rapper alive
6,Chris Huls,chris@email.com,is one cool cat
7,Athony Martino,anthony@email.com,a little hyper but fine
8,Zach Walker,zach@email.com,vending machine queen
9,Jenny Bob,jbob@email.com,Great reader but struggles with math
10,Jimmy Craig,jcraig@email.com,Has those hockey glutes
11,Brave Little Toaster,blt@email.com,Loves adventures
12,Stephanie Lopez,stephlo@email.com,Organized
13,Ty Owens,tyow@email.com,Space junkie
14,Molly Smith,molly@email.com,Afraid of the dark
15,Maggie Moods,maggie@email.com,Moody
16,Anna Arnold,anna@email.com,Strong like Arnold
17,Rachel Wood,rachel@email.com,Tree hugger
18,Sandy Beach,sandy@email.com,Riding that wave
